movie,description,gener
Piglet's Big Movie,"When the gang from the Hundred Acre Wood begin a honey harvest, young Piglet is excluded and told that he is too small to help. Feeling inferior, Piglet disappears and his pals Eeyore, Rabbit, Tigger, Roo and Winnie the Pooh must use Piglet's scrapbook as a map to find him. In the process they discover that this very small animal has been a big hero in a lot of ways.","Animation, Family"
Dead Space: Downfall,"On a deep space mining mission to a remote planet, an ancient religious relic - thought to be proof of the existence of God - is unearthed and brought aboard. When the unholy artifact unleashes a long-dormant alien race, its glimpse of Heaven transforms the ship into a living Hell. A prequel to the events of the 2008 video game Dead Space.","Animation, Horror, Science Fiction, Thriller"
Footloose,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock after discovering he's living in a place where music and dancing are illegal.","Drama, Romance"
Out of Sight,"Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves … and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law.","Romance, Comedy, Crime"
Oddity,"After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge.","Horror, Mystery"
Slow West,"In the Old West, a 17-year-old Scottish boy teams up with a mysterious gunman to find the woman with whom he is infatuated.","Western, Drama, Adventure, Romance, Thriller"
Oblivion,"Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.","Action, Science Fiction, Adventure, Mystery"
Pretty in Pink,"Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy.","Romance, Drama"
Charlie Bartlett,"Awkward teenager Charlie Bartlett has trouble fitting in at a new high school. Charlie needs some friends fast, and decides that the best way to find them is to appoint himself the resident psychiatrist. He becomes one of the most popular guys in school by doling out advice and, occasionally, medication, to the student body.","Comedy, Drama, Romance"
Jarhead,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.","Drama, War"
Coven,"French Basque Country, year 1609. The men of a small fishing village have gone to sea. Judge Rostegui, who has been charged by the king with ridding the country of the devil's wiles, arrests Ana and her friends and accuses them of witchcraft.","Drama, History"
Yesterday,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where the group was forgotten.,"Comedy, Fantasy, Music, Romance"
The Current War,Electricity titans Thomas Edison and George Westinghouse compete to create a sustainable system and market it to the American people.,"Drama, History"
22 Bullets,A retired mobster goes on a revenge spree after being left for dead with 22 bullets in his body by his former childhood friend.,"Drama, Crime, Thriller"
The Mechanic,"Arthur Bishop is a veteran hit man who, owing to his penchant for making his targets' deaths seem like accidents, thinks himself an artist. It's made him very rich, but as he hits middle age, he's so depressed and lonely that he takes on one of his victim's sons, Steve McKenna, as his apprentice. Arthur puts him through a rigorous training period and brings him on several hits. As Steven improves, Arthur worries that he'll discover who killed his father.","Action, Crime, Thriller"
The Tigger Movie,"Winnie the Pooh, Piglet, Owl, Kanga, Roo, and Rabbit are preparing a suitable winter home for Eeyore, the perennially dejected donkey, but Tigger's continual bouncing interrupts their efforts. Rabbit suggests that Tigger go find others of his kind to bounce with, but Tigger thinks ""the most wonderful thing about tiggers is"" he's ""the only one!"" Just in case though, the joyously jouncy feline sets out to see if he can find relatives.","Animation, Family, Comedy"
Public Enemies,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.","Crime, History, Drama"
Dikkenek,"Jean-Claude is a loud-mouthed, know-it-all and full time boor who is best friends with Stef, a self-styled lady killer who would do better with the fairer sex if he could work up the ambition to wake up in the morning. Stef has decided that he may need some help in finding the woman of his dreams, and embracing loyalty rather than logic he turns to Jean-Claude for advice.",Comedy
Afterlife of the Party,A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.,"Fantasy, Comedy, Drama"
Till Death,"After a romantic evening at their secluded lake house, a woman wakes up handcuffed to her dead husband. Trapped and isolated in the dead of winter, she must fight off hired killers to escape her late spouse's twisted plan.","Horror, Thriller"
Young Guns,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.","Western, Action, Adventure"
The First Great Train Robbery,"In Victorian England, a master criminal makes elaborate plans to steal a shipment of gold from a moving train.","Thriller, Adventure, Drama, Crime"
Grumpy Old Men,"For decades, next-door neighbors and former friends John and Max have feuded, trading insults and wicked pranks. When an attractive widow moves in nearby, their bad blood erupts into a high-stakes rivalry full of naughty jokes and adolescent hijinks.","Comedy, Romance"
Tristan & Isolde,An affair between the second in line to Britain's throne and the princess of the feuding Irish spells doom for the young lovers.,"Drama, Romance"
Alienoid: Return to the Future,"Ean has a critical mission to return to the future to save everyone. However, she becomes trapped in the distant past while trying to prevent the escape of alien prisoners who are locked up in the bodies of humans. Meanwhile, Muruk, who helps Ean escape various predicaments, is unnerved when he begins sensing the presence of a strange being in his body. Traveling through the centuries, they are trying to prevent the explosion of the haava.","Action, Fantasy, Adventure, Science Fiction"
Border,"When a border guard with a sixth sense for identifying smugglers encounters the first person she cannot prove is guilty, she is forced to confront terrifying revelations about herself and humankind.","Fantasy, Drama, Crime"
Hector and the Search for Happiness,"Hector is a quirky psychiatrist who has become increasingly tired of his humdrum life. As he tells his girlfriend, Clara, he feels like a fraud: he hasn’t really tasted life, and yet he’s offering advice to patients who are just not getting any happier. So Hector decides to break out of his deluded and routine driven life. Armed with buckets of courage and child-like curiosity, he embarks on a global quest in hopes of uncovering the elusive secret formula for true happiness. And so begins a larger than life adventure with riotously funny results.","Adventure, Drama, Comedy"
Exam,"Eight talented candidates have reached the final stage of selection to join the ranks of a mysterious and powerful corporation. Entering a windowless room, where an armed guard keeps watch, they are given 80 minutes to answer one simple question.","Thriller, Mystery"
Wayne's World,"The adventures of two amiably aimless metal-head friends, Wayne and Garth. From Wayne's basement, the pair broadcast a talk-show called ""Wayne's World"" on local public access television. The show comes to the attention of a sleazy network executive who wants to produce a big-budget version of ""Wayne's World""—and he also wants Wayne's girlfriend, a rock singer named Cassandra. Wayne and Garth have to battle the executive not only to save their show, but also Cassandra.","Comedy, Music"
The Spectacular Now,"Sutter, a popular party animal, unexpectedly meets the introverted Aimee after waking up on a stranger's lawn. As Sutter deals with the problems in his life and Aimee plans for her future beyond school, an unexpected romance blossoms between them.","Comedy, Drama, Romance"
Insidious: Chapter 2,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,"Horror, Thriller"
Patriot Games,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.","Drama, Action, Thriller, Crime"
Mad Max,"In the ravaged near-future, a savage motorcycle gang rules the road. Terrorizing innocent civilians while tearing up the streets, the ruthless gang laughs in the face of a police force hell-bent on stopping them.","Action, Thriller, Science Fiction"
Parthenope,"Parthenope, born in the sea near Naples in 1950, is beautiful, enigmatic, and intelligent. She is shamelessly courted by many. However, beauty comes at a cost.",Drama
Dumb Money,"Vlogger Keith Gill sinks his life savings into GameStop stock and posts about it. When social media starts blowing up, so do his life and the lives of everyone following him. As a stock tip becomes a movement, everyone gets rich—until the billionaires fight back, and both sides find their worlds turned upside down.","History, Comedy, Drama"
Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.","Horror, Mystery"
Mr. Jones,"In 1933, Welsh journalist Gareth Jones travels to Ukraine, where he experiences the horrors of a famine. Everywhere he goes he meets henchmen of the Soviet secret service who are determined to prevent news about the catastrophe from getting out. Stalin’s forced collectivisation of agriculture has resulted in misery and ruin—the policy is tantamount to mass murder.","Thriller, Drama, History"
A Perfect Day,"Somewhere in the Balkans, 1995. A team of aid workers must solve an apparently simple problem in an almost completely pacified territory that has been devastated by a cruel war, but some of the local inhabitants, the retreating combatants, the UN forces, many cows and an absurd bureaucracy will not cease to put obstacles in their way.","Comedy, Drama, War"
The Grand Seduction,"A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor’s time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops and begin The Grand Seduction.",Comedy
The Devil's Double,A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.,"Drama, Action, Thriller, Crime, War"
Bully,"A group of teenagers in South Florida enact a murder plot against their mutual bully, Bobby, who has emotionally, physically, and sexually abused them for years.","Crime, Drama"
Confessions of a Dangerous Mind,"Television made him famous, but his biggest hits happened off screen. Television producer by day, CIA assassin by night, Chuck Barris was recruited by the CIA at the height of his TV career and trained to become a covert operative. Or so Barris said.","Comedy, Crime, Drama, Romance, Thriller, History"
Storks,"Storks deliver babies…or at least they used to. Now they deliver packages for a global internet retail giant. Junior, the company’s top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl...","Adventure, Animation, Comedy, Family"
Deathtrap,A Broadway playwright puts murder in his plan to take credit for a student's script.,"Comedy, Crime, Drama"
The Stepford Wives,"Joanna Eberhart comes to the town of Stepford, Connecticut with her family, but soon discovers there lies a sinister truth in the all too perfect behavior of the female residents.","Thriller, Science Fiction, Horror"
Going Places,"Two whimsical, aimless thugs harass and assault women, steal, murder, and alternately charm, fight, or sprint their way out of trouble. They take whatever the bourgeoisie holds dear, whether it’s cars, peace of mind, or daughters. Marie-Ange, a jaded, passive hairdresser, joins them as lover, cook, and mother confessor. She’s on her own search for seemingly unattainable sexual pleasure.","Comedy, Drama"
No Hard Feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.","Comedy, Romance"
Perfect Strangers,"During a lunar eclipse, seven friends gather for dinner and decide to play a game in which they must share with each other the content of every message, email or phone call they receive throughout the evening.","Drama, Comedy"
Our Souls at Night,"Addie Moore and Louis Waters, a widow and widower, have lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbour.","Romance, Drama"
Society,Bill Whitney is worried that he is different to his sister and parents. They mix with other upper-class people while Bill is more down to earth. Even his girlfriend seems a bit odd. All is revealed when Bill returns home to find a party in full swing.,"Comedy, Horror, Mystery"
The Big Red One,"A veteran sergeant of World War I leads a squad in World War II, always in the company of the survivor Pvt. Griff, the writer Pvt. Zab, the Sicilian Pvt. Vinci and Pvt. Johnson, in Vichy French Africa, Sicily, D-Day at Omaha Beach, Belgium and France, and ending in a concentration camp in Czechoslovakia where they face the true horror of war.","Drama, War"
Fire in the Sky,"After clearing brush for the government, a group of men return to town claiming their friend was abducted. Despite no apparent motive or evidence of foul play, no-one believes their story and his disappearance is treated as murder.","Science Fiction, Mystery, Thriller, Drama"
Happy Gilmore,"Failed hockey player-turned-golf whiz Happy Gilmore — whose unconventional approach and antics on the green courts the ire of rival Shooter McGavin — is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",Comedy
48 Hrs.,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.","Crime, Action, Comedy"
Summertime,"In 1971, a young woman moves from the French countryside to Paris and begins a passionate love affair with a feminist leader.","Drama, Romance"
Banana Joe,"Island farmer Banana Joe helps the local community by trading his bananas for goods. When gangsters arrive with plans to construct a banana processing plant, Joe kicks them out, but the mob boss discovers that Joe is operating without a license. After the mob tips off the authorities and Joe's boat is impounded, he ventures into a big city for the first time to seek help.","Action, Comedy"
The Longest Yard,"Disgraced pro football quarterback Paul Crewe lands in a Texas federal penitentiary, where manipulative Warden Hazen recruits him to advise the institution's football team of prison guards. Crewe suggests a tune-up game which lands him quarterbacking a crew of inmates in a game against the guards. Aided by incarcerated ex-NFL coach and player Nate Scarborough, Crewe and his team must overcome not only the bloodthirstiness of the opposition, but also the corrupt warden trying to fix the game against them.","Drama, Comedy, Crime"
The Boss Baby: Christmas Bonus,Christmas Eve takes a twisty turn when the Boss Baby accidentally swaps places with one of Santa's elves and gets stranded at the North Pole.,"Animation, Family, Adventure"
Reptile,"Following the brutal murder of a young real estate agent, a hardened detective attempts to uncover the truth in a case where nothing is as it seems, and by doing so dismantles the illusions in his own life.","Crime, Mystery, Thriller, Drama"
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.","Horror, Mystery, Thriller"
Zulu,"As a child, Ali Neuman narrowly escaped being murdered by Inkhata, a militant political party at war with Nelson Mandela's African National Congress. Only he and his mother survived the carnage of those years. But as with many survivors, the psychological scars remain.","Crime, Drama, Thriller"
Metro,"Terror strikes the underground train system in Moscow in the form of a flood from a collapsed tunnel. The film follows a diverse group of Moscow citizens who find themselves trapped in the city’s underground rail network, their train derailed and virtually crushed after an aging tunnel collapses. Amongst this band of survivors is softly spoken surgeon Andrey (Sergei Puskepalis), whose wife is having an affair with the conceited businessman Vlad (Anatoly Beliy). Fate brings these two men together on the same doomed train, but there is little time to resolve their differences, as the tunnel begins to quickly fill with water, forcing them to work together with the others and find a way back to the surface.","Action, Thriller"
Cronos,"Faced with his own mortality, an ingenious alchemist tried to perfect an invention that would provide him with the key to eternal life. It was called the Cronos device. When he died more than 400 years later, he took the secrets of this remarkable device to the grave with him. Now, an elderly antiques dealer has found the hellish machine hidden in a statue and learns about its incredible powers. The more he uses the device, the younger he becomes...but nothing comes without a price. Life after death is just the beginning as this nerve-shattering thriller unfolds and the fountain of youth turns bloody.","Drama, Horror, Thriller"
YES DAY,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,"Family, Comedy"
"Don't Worry, He Won't Get Far on Foot","On the rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing hilarious, often controversial cartoons, which bring him a new lease on life.","Comedy, Drama"
Bloodshot,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.","Action, Science Fiction, Adventure"
Goodnight Mommy,"In the heat of the summer lays a lonesome house in the countryside where nine year old twin brothers await their mother’s return.  When she comes home, bandaged after cosmetic surgery, nothing is like before and the children start to doubt whether this woman is actually who she says she is.","Horror, Mystery, Thriller"
The Ides of March,Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.,Drama
Lord of the Flies,Following a plane crash a group of schoolboys find themselves on a deserted island. They appoint a leader and attempt to create an organized society for the sake of their survival. Democracy and order soon begin to crumble when a breakaway faction regresses to savagery with horrifying consequences.,"Drama, Adventure, Thriller"
Burn After Reading,"When a disc containing memoirs of a former CIA analyst falls into the hands of gym employees, Linda and Chad, they see a chance to make enough money for Linda to have life-changing cosmetic surgery. Predictably, events whirl out of control for the duo, and those in their orbit.","Comedy, Drama"
Hellboy,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before they summon a baby demon who is rescued by Allied forces and dubbed ""Hellboy"". Sixty years later, Hellboy serves the cause of good rather than evil as an agent in the Bureau of Paranormal Research & Defense, along with Abe Sapien - a merman with psychic powers, and Liz Sherman - a woman with pyrokinesis, protecting America against dark forces.","Fantasy, Action"
Dust Bunny,"Ten-year-old Aurora asks her hitman neighbor to kill the monster under her bed that she claims ate her family. To protect her, he must battle an onslaught of assassins while accepting that some monsters are real.","Fantasy, Action, Horror"
Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.","Horror, Mystery"
Along for the Ride,"The summer before college, Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on nightly quests to help Auden experience the fun, carefree teen life she never knew she wanted.","Romance, Drama"
The Good Liar,"Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes.",Crime
Judy,"Thirty years after starring in 'The Wizard of Oz', beloved actress and singer Judy Garland arrives in London to perform sold-out shows at the Talk of the Town nightclub. While there, she reminisces with friends and fans and begins a whirlwind romance with musician Mickey Deans, her soon-to-be fifth husband.","Drama, History, Music"
Shadow,"In a kingdom ruled by a young and unpredictable king, the military commander has a secret weapon: a shadow, a look-alike who can fool both his enemies and the King himself. Now he must use this weapon in an intricate plan that will lead his people to victory in a war that the King does not want.","Action, War"
The Infiltrator,A U.S Customs official uncovers a massive money laundering scheme involving Pablo Escobar.,"Crime, Drama, Thriller"
Boy Kills World,"When his family is murdered, a deaf-mute named Boy escapes to the jungle and is trained by a mysterious shaman to repress his childish imagination and become an instrument of death.","Crime, Thriller, Action"
Twitches Too,"Reunited witch twins Camryn and Alex adjust to their new life as supernatural beings while at the same time trying to maintain a normal existence in this sequel to the magical Disney Channel original movie Twitches. But they soon find themselves going head to head with the forces of darkness that threaten to destroy their world. Luckily, their birth mother, the powerful Miranda, is on hand to help out.","Drama, Family, Fantasy, TV Movie"
Fantozzi Against the Wind,"The third film in the saga of the unlucky clerk Ugo Fantozzi, played by its creator, Paolo Villaggio.",Comedy
Stealing Beauty,"Lucy Harmon, an American teenager is arriving in the lush Tuscan countryside to be sculpted by a family friend who lives in a beautiful villa. Lucy visited there four years earlier and exchanged a kiss with an Italian boy with whom she hopes to become reacquainted.","Drama, Romance"
The Year of Living Dangerously,A young Australian reporter tries to navigate the political turmoil of Indonesia during the rule of President Sukarno with the help of a diminutive photographer.,"Romance, Drama"
Tutta colpa di Freud,"Francesco is a psychoanalyst grappling with three hopeless causes: a bookseller in love with a book thief, a lesbian hell-bent on becoming straight after a heartbreak, and an 18-year-old in a relationship with a much older married man. Unfortunately, these patients are also his three beloved daughters!",Comedy
My Week with Marilyn,"London, 1956. Genius actor and film director Laurence Olivier is about to begin the shooting of his upcoming movie, premiered in 1957 as The Prince and the Showgirl, starring Marilyn Monroe. Young Colin Clark, who dreams on having a career in movie business, manages to get a job on the set as third assistant director.","Drama, Romance"
The Crush,A precocious and obsessive teenager develops a crush on a naive writer with harrowing consequences.,"Thriller, Drama"
Dead Presidents,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,"Crime, Drama, Action"
Veronica Guerin,"In this true story, Veronica Guerin is an investigative reporter for an Irish newspaper. As the drug trade begins to bleed into the mainstream, Guerin decides to take on and expose those responsible. Beginning at the bottom with addicts, Guerin then gets in touch with John Traynor, a paranoid informant. Not without some prodding, Traynor leads her to John Gilligan, the ruthless head of the operation, who does not take kindly to Guerin's nosing.","Drama, Crime, Thriller"
99 Francs,"Paris, France, 2001. Octave Parango, a young advertiser working at the Ross & Witchcraft advertising agency, lives a suicidal existence, ruled by cynicism, irresponsibility and debauchery. The obstacles he will encounter in developing a campaign for a new yogurt brand will force him to face the meaning of his work and the way he manages his relationship with those who orbit around his egotistic lifestyle.","Drama, Comedy"
Primitive War,"During the Vietnam War, a recon unit ventures to an isolated jungle valley to uncover the fate of a missing platoon. They soon find themselves in a fight for their lives against an unexpected enemy — prehistoric dinosaurs.","Action, Horror, War, Science Fiction"
Terrifier 2,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Horror
Haunt,"On Halloween, a group of friends encounter an extreme haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realisation that some nightmares are real.","Horror, Thriller"
Jack Reacher,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.","Crime, Drama, Thriller, Action"
The Muppets,"When Kermit the Frog and the Muppets learn that their beloved theater is slated for demolition, a sympathetic human, Gary, and his felt-faced brother, Walter, swoop in to help the gang put on a telethon show and raise the $10 million they need to save the day.","Comedy, Family, Music, Adventure"
The Soloist,"A Los Angeles journalist befriends a homeless Juilliard-trained musician, while looking for a new article for the paper.","Drama, Music"
UHF,The eccentric new manager of a UHF television channel tries to save the station from financial ruin with an odd array of programming.,Comedy
Bananas,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.",Comedy
Fantastic Voyage,"In order to save an assassinated scientist, a submarine and its crew are shrunk to microscopic size and injected into his bloodstream.","Science Fiction, Adventure"
Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.","Drama, Romance"
"Good Luck Charlie, It's Christmas!","Teddy Duncan's middle-class family embarks on a road trip from their home in Denver to visit Mrs. Duncans Parents, the Blankenhoopers, in Palm Springs. When they find themselves stranded between Denver and Utah, they try to hitch a ride to Las Vegas with a seemingly normal older couple in a station wagon from Roswell, New Mexico. It turns out that the couple believes they are the victims of alien abduction. The Duncan's must resort to purchasing a clunker Yugo to get to Utah, have their luggage stolen in Las Vegas, and survive a zany Christmas with Grandpa and Grandma Blankenhooper.","Comedy, Family, Drama, TV Movie"
9th Company,"Russian army recruits complete training and take their posting in late 1980s Afghanistan, where the insurgents are slowly gaining the upper hand.","War, Drama, History"
Keeping Mum,A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair and his children are up to no good.,Comedy
Days of Glory,"1943. They have never stepped foot on French soil but because France was at war, Said, Abdelkader, Messaoud and Yassir enlist in the French Army, along with 130,000 other “indigenous” soldiers, to liberate the “fatherland” from the Nazi enemy. Heroes that history has forgotten…","Drama, History, War"
Return to Me,"It took a lot of cajoling to get Bob, a recently widowed architect, to go on a blind date at a quirky Irish-Italian eatery. Once there, he's smitten instantly not with his date but with the sharp-witted waitress. Everything seems to be going great until an unbelievable truth is revealed, one that could easily break both of their hearts for good.","Romance, Comedy"
Thunderball,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,"Adventure, Action, Thriller"
Something from Tiffany's,One woman's life is forever changed by an engagement ring meant for someone else.,"Romance, Comedy, Drama"
Breaking Surface,"Two Swedish/Norwegian half sisters go on a winter diving trip in Northern Norway, when they get trapped after a rockslide.","Drama, Thriller"
Operation Finale,"In 1960, a team of Israeli secret agents is deployed to find Adolf Eichmann, the infamous Nazi architect of the Holocaust, supposedly hidden in Argentina, and get him to Israel to be judged.","Drama, History, Thriller"
Made in Dagenham,"A dramatization of the 1968 strike at the Ford Dagenham car plant, where female workers walked out in protest against sexual discrimination.","Comedy, Drama, History"
Fracchia The Human Beast,The world's greatest criminal and the world greatest loser share the same face... now they'll share the same life!,Comedy
One Hour Photo,"Sy Parrish has lovingly developed photographs for the Yorkin family since their son was a baby. But as the Yorkins' lives become fuller, Sy's only seems lonelier, until he eventually convinces himself he's part of their family. When Sy's picture-perfect fantasy collides with an ugly dose of reality, a bizarre and thrilling confrontation ensues.","Drama, Thriller"
Martian Child,A recently-widowed science fiction writer considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially-rejected boy who says he's really from Mars.,"Comedy, Drama"
The Bikeriders,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must choose between Kathy and his loyalty to the club.","Crime, Drama"
Back to Black,"The extraordinary story of Amy Winehouse’s early rise to fame from her early days in Camden through the making of her groundbreaking album, Back to Black that catapulted Winehouse to global fame. Told through Amy’s eyes and inspired by her deeply personal lyrics, the film explores and embraces the many layers of the iconic artist and the tumultuous love story at the center of one of the most legendary albums of all time.","Music, History, Drama"
Mank,1930s Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane.,"Drama, History"
Attraction,"After an alien ship crash lands in a Russian city, many who see the inside and the occupants start to question their own existence while others demand the aliens leave Earth.","Drama, Romance, Science Fiction, Adventure"
Goodbye Berlin,"Maik, a fourteen-year-old teenager, sets out on a road trip during summertime with Tschick, a new classmate, in a stolen car. The two share life changing experiences during the eventful journey.","Drama, Comedy"
Shinjuku Incident,A simple Chinese immigrant wages a perilous war against one of the most powerful criminal organizations on the planet.,"Drama, Action, Thriller, Crime"
Crank,"Chev Chelios, a hit man wanting to go straight, lets his latest target slip away. Then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote.","Action, Thriller, Crime"
Resident Evil,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.","Horror, Action, Science Fiction"
Guava Island,"Deni Maroon, a musician and dock worker is determined to pull off a music festival against the interests of the local factory owner.","Comedy, Thriller, Music"
Keep an Eye Out,"Louis just found the corpse of a man in front of his apartment building. Taken in for custody by Captain Buron, he finds himself on the wrong end of a surreal interrogation. But how can you prove you are innocent when the cops are crazy?",Comedy
Overboard,"A spoiled, wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee.","Romance, Comedy"
Initial D,"After winning his first competition, Takumi focuses his attention on drift racing, a sport he has unknowingly perfected while delivering tofu in his father's Toyota AE86.","Action, Crime, Drama"
Street Kings,"Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career, ultimately leading him to question the loyalties of everyone around him.","Action, Crime, Drama, Thriller"
Uncle Drew,Uncle Drew recruits a squad of older basketball players to return to the court to compete in a tournament.,Comedy
What We Did on Our Holiday,"Doug and Abi and their three children travel to the Scottish Highlands for Doug's father Gordie's birthday party. It's soon clear that when it comes to keeping a secret under wraps from the rest of the family, their children are their biggest liability...",Comedy
Elf,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.","Comedy, Family, Fantasy"
